,cmplnt_num,cmplnt_fr_dt,cmplnt_fr_tm,addr_pct_cd,rpt_dt,ky_cd,ofns_desc,pd_cd,pd_desc,crm_atpt_cptd_cd,law_cat_cd,boro_nm,loc_of_occur_desc,prem_typ_desc,juris_desc,jurisdiction_code,hadevelopt,housing_psa,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex,latitude,longitude,lat_lon,patrol_boro,vic_age_group,vic_race,vic_sex,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih,cmplnt_to_dt,cmplnt_to_tm,parks_nm,transit_district,station_name
0,325341655,2015-02-11T00:00:00.000,15:00:00,73,2015-02-11T00:00:00.000,359,OFFENSES AGAINST PUBLIC ADMINI,749.0,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2.0,TILDEN,405,1009656.0,181287.0,25-44,BLACK,M,40.664239422,-73.908425011,"{'latitude': '40.664239422', 'longitude': '-73.908425011'}",PATROL BORO BKLYN NORTH,<18,BLACK,M,17614.0,55.0,2.0,17.0,46.0,,,,,
1,393816841,2012-03-17T00:00:00.000,10:30:00,69,2012-03-17T00:00:00.000,344,ASSAULT 3 & RELATED OFFENSES,114.0,OBSTR BREATH/CIRCUL,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,NA,1014035.0,174133.0,,,,40.644589618,-73.892672426,"{'latitude': '40.644589618', 'longitude': '-73.892672426'}",PATROL BORO BKLYN SOUTH,45-64,BLACK,F,13827.0,5.0,2.0,8.0,42.0,2012-03-17T00:00:00.000,11:00:00,NA,,
2,802896158,2016-10-27T00:00:00.000,13:48:00,71,2016-11-03T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,PUBLIC SCHOOL,N.Y. POLICE DEPT,0.0,,NA,1000222.0,179282.0,<18,BLACK,M,40.658758183,-73.942434788,"{'latitude': '40.658758183', 'longitude': '-73.942434788'}",PATROL BORO BKLYN SOUTH,18-24,BLACK,M,16866.0,17.0,2.0,11.0,44.0,2016-11-03T00:00:00.000,13:49:00,,,
3,633812343,2014-11-27T00:00:00.000,19:00:00,112,2014-11-28T00:00:00.000,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,1025420.0,202485.0,25-44,WHITE HISPANIC,M,40.722363687,-73.851473894,"{'latitude': '40.722363687', 'longitude': '-73.851473894'}",PATROL BORO QUEENS NORTH,25-44,WHITE,F,14786.0,40.0,3.0,28.0,70.0,2014-11-27T00:00:00.000,22:30:00,,,
4,300349533,2013-12-11T00:00:00.000,13:30:00,24,2013-12-12T00:00:00.000,109,GRAND LARCENY,438.0,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,MANHATTAN,INSIDE,DOCTOR/DENTIST OFFICE,N.Y. POLICE DEPT,0.0,,NA,992848.0,228356.0,,,,40.793464597,-73.968949638,"{'latitude': '40.793464597', 'longitude': '-73.968949638'}",PATROL BORO MAN NORTH,45-64,WHITE,F,12422.0,20.0,4.0,23.0,15.0,2013-12-11T00:00:00.000,14:15:00,NA,,
5,944253539,2013-08-28T00:00:00.000,11:00:00,63,2013-08-28T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0.0,,NA,1007048.0,167105.0,,,,40.625319998,-73.917873518,"{'latitude': '40.625319998', 'longitude': '-73.917873518'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,D,13825.0,5.0,2.0,8.0,38.0,2013-08-28T00:00:00.000,11:30:00,NA,,
6,608679532,2013-12-04T00:00:00.000,18:30:00,101,2013-12-05T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,1051824.0,158026.0,,WHITE HISPANIC,F,40.600171728,-73.756663063,"{'latitude': '40.600171728', 'longitude': '-73.756663063'}",PATROL BORO QUEENS SOUTH,45-64,BLACK,F,20529.0,51.0,3.0,47.0,59.0,2013-12-04T00:00:00.000,18:40:00,NA,,
7,882178622,2013-09-14T00:00:00.000,08:40:00,49,2013-09-14T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,NA,1022583.0,249362.0,45-64,BLACK,M,40.851041106,-73.861441322,"{'latitude': '40.851041106', 'longitude': '-73.861441322'}",PATROL BORO BRONX,25-44,WHITE HISPANIC,F,11271.0,59.0,5.0,12.0,32.0,2013-09-14T00:00:00.000,08:40:00,NA,,
8,240183498,2013-01-31T00:00:00.000,23:47:00,40,2013-01-31T00:00:00.000,352,CRIMINAL TRESPASS,205.0,"TRESPASS 2, CRIMINAL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2.0,,811,1007373.0,232752.0,,,,40.805504347,-73.916477252,"{'latitude': '40.805504347', 'longitude': '-73.916477252'}",PATROL BORO BRONX,,UNKNOWN,E,10932.0,49.0,5.0,35.0,23.0,,,NA,,
9,895680254,2016-09-17T00:00:00.000,00:05:00,60,2016-09-17T00:00:00.000,351,CRIMINAL MISCHIEF & RELATED OF,259.0,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,984501.0,147851.0,UNKNOWN,BLACK,M,40.572500982,-73.999097946,"{'latitude': '40.572500982', 'longitude': '-73.999097946'}",PATROL BORO BKLYN SOUTH,25-44,BLACK,F,18184.0,21.0,2.0,45.0,35.0,2016-09-17T00:00:00.000,00:15:00,,,
10,450452011,2012-10-21T00:00:00.000,00:30:00,26,2012-10-21T00:00:00.000,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,NA,997234.0,235805.0,,UNKNOWN,U,40.813904701,-73.953095126,"{'latitude': '40.813904701', 'longitude': '-73.953095126'}",PATROL BORO MAN NORTH,45-64,WHITE HISPANIC,M,12424.0,37.0,4.0,23.0,17.0,2012-10-21T00:00:00.000,00:35:00,NA,,
11,470101747,2014-06-03T00:00:00.000,18:25:00,32,2014-06-03T00:00:00.000,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,999358.0,236472.0,,,,40.815732053,-73.945420411,"{'latitude': '40.815732053', 'longitude': '-73.945420411'}",PATROL BORO MAN NORTH,45-64,BLACK,F,12427.0,18.0,4.0,36.0,20.0,,,,,
12,760733082,2015-05-17T00:00:00.000,12:01:00,70,2015-05-17T00:00:00.000,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,DRUG STORE,N.Y. POLICE DEPT,0.0,,NA,994303.0,172997.0,,,,40.641515918,-73.96377755,"{'latitude': '40.641515918', 'longitude': '-73.96377755'}",PATROL BORO BKLYN SOUTH,,UNKNOWN,D,13510.0,60.0,2.0,11.0,43.0,2015-05-17T00:00:00.000,12:08:00,,,
13,326188407,2013-02-06T00:00:00.000,10:45:00,33,2013-02-06T00:00:00.000,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,CHAIN STORE,N.Y. POLICE DEPT,0.0,,NA,1001068.0,246349.0,,,,40.842838501,-73.939217894,"{'latitude': '40.842838501', 'longitude': '-73.939217894'}",PATROL BORO MAN NORTH,,UNKNOWN,D,13090.0,47.0,4.0,39.0,21.0,2013-02-06T00:00:00.000,11:00:00,NA,,
14,882568598,2017-06-28T00:00:00.000,09:30:00,120,2017-06-28T00:00:00.000,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2.0,RICHMOND TERRACE,10143,959780.0,175052.0,25-44,WHITE,U,40.647128347,-74.088181423,"{'latitude': '40.647128347', 'longitude': '-74.088181423'}",PATROL BORO STATEN ISLAND,45-64,BLACK,F,10369.0,4.0,1.0,13.0,74.0,2017-06-28T00:00:00.000,09:45:00,,,
15,971510739,2015-09-22T00:00:00.000,15:00:00,34,2015-10-10T00:00:00.000,361,OFF. AGNST PUB ORD SENSBLTY &,639.0,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0.0,,NA,1003905.0,250645.0,<18,WHITE HISPANIC,F,40.854623892,-73.92895183,"{'latitude': '40.854623892', 'longitude': '-73.92895183'}",PATROL BORO MAN NORTH,<18,WHITE HISPANIC,F,13098.0,47.0,4.0,39.0,22.0,,,,,
16,253264123,2012-12-10T00:00:00.000,12:09:00,44,2012-12-10T00:00:00.000,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,NA,1007839.0,246906.0,,,,40.844351811,-73.914744223,"{'latitude': '40.844351811', 'longitude': '-73.914744223'}",PATROL BORO BRONX,,UNKNOWN,E,10930.0,50.0,5.0,29.0,27.0,2012-12-10T00:00:00.000,12:10:00,NA,,
