DEC Region,Land Acquisition Category,County,Project Number,Project Name (Alias),Acres (Fee),Acres (Conservation Easement),Equivalent Stream Miles,Deed Vesting Date
2,E-ESB,Richmond,7,Todt Hill,52.522,18,,1990-01-04T00:00:00.000
4,Q-FWL,Columbia,32.02,Nutten Hook,0,,,1990-03-09T00:00:00.000
4,Q-FWL,Columbia,32.01,Nutten Hook,0,,,1990-03-09T00:00:00.000
4,Q-FWL,Columbia,32,Nutten Hook,0,,,1990-03-09T00:00:00.000
4,Q-FWL,Columbia,32.03,Nutten Hook,76,,,1990-03-09T00:00:00.000
3,CFP,Ulster,141.09,Overlook Mountain,4.3,42.9,,1990-03-29T00:00:00.000
9,PFR,Allegany,36.07,Genesee River,,,0.153,1990-04-02T00:00:00.000
6,UC,Jefferson,116.02,Stony Point,,,,1990-04-30T00:00:00.000
6,PLA,Oneida,136,Starr Hill,254.5,,,1990-07-11T00:00:00.000
6,TOJ,Jefferson,103,Lake Ontario,3.44,,,1990-09-10T00:00:00.000
6,TOJ,Jefferson,104,Lake Ontario,25.15,,,1990-09-10T00:00:00.000
3,PLC,Ulster,249.02,Uhl,19.901,,,1990-09-20T00:00:00.000
3,PLC,Ulster,249.05,Coutant,,12.928,,1990-09-20T00:00:00.000
4,Q-FWL,Columbia,28.04,Stockport Flats,1.52,,,1990-09-24T00:00:00.000
3,PLC,Ulster,249.03,Scenic Hudson,4.624,,,1990-10-02T00:00:00.000
3,PLC,Ulster,249.04,Nimble Enterprises,,6.97,,1990-10-02T00:00:00.000
1,Q-TWL,Suffolk,013.36A,Long Beach,6.298,,,1990-10-26T00:00:00.000
1,Q-TWL,Suffolk,013.36B,Long Beach,9.222,,,1990-10-26T00:00:00.000
4,CFP,Greene,130.01,,,,,1990-10-30T00:00:00.000
2,FWL,Richmond,10,Travis Rr,5.39,,,1990-12-03T00:00:00.000
6,SP,Oneida,143,Rome Fish Hatchery,0.4,,,1990-12-10T00:00:00.000
3,PLC,Ulster,249.01,Janrette,48.008,,,1990-12-10T00:00:00.000
5,AFP,Franklin,209.15,Paul Smith's Parcel F,44.07,,,1991-03-19T00:00:00.000
4,TR,Rensselaer,21.05,Taconic Ridge,68.3,,,1991-05-08T00:00:00.000
5,AFP,Franklin,209.19,Paul Smith's Parcel Ex 55,32.18,,,1991-06-20T00:00:00.000
8,FWL,Wayne,33.185,Northern Montezuma,244.46,,,1991-10-22T00:00:00.000
9,PFR,Allegany,25,Little Genesee Creek,,,0.217,1991-10-28T00:00:00.000
4,PLC,Albany,6.43,Black Creek Marsh,0.85,,,1991-12-19T00:00:00.000
4,Q-FWL,Columbia,32.04,Nutten Hook,40.71,,,1991-12-23T00:00:00.000
4,CFP,Delaware,158,Development Rights,,,,1991-12-30T00:00:00.000
4,CFP,Greene,153,Kaaterskill Falls,85,,,1992-02-24T00:00:00.000
2,TWL,Richmond,12.03,Harbor Herons,2.5,,,1992-03-05T00:00:00.000
